u,g,r,i,z,redshift,alpha,delta
21.47463,21.31354,21.07368,20.83419,20.44424,1.128632,20.1867393473227,18.7996488875475
22.1725,20.97214,20.30399,19.56806,19.21002,0.3192222,151.862908408938,4.92723604545435
24.57788,21.76771,20.30214,19.05265,18.71425,0.6270044,180.794049259778,6.52066181971041
19.15346,19.05222,18.91841,18.75424,18.50465,2.038423,199.883449989226,7.94641266800451
23.69245,21.71044,20.57351,19.71828,22.86851,0.3878106,112.790311752968,45.6125053943407
22.23828,21.63305,21.37992,20.99974,21.07199,0.7230491,257.139998656678,33.945474636975
21.783,21.19729,20.65961,20.42175,20.18669,2.144567,142.276897388483,47.7552506481522
24.21699,21.29514,19.44659,18.76631,18.4123,0.3957144,144.29902978407,62.7594275131596
23.54653,21.34398,20.89967,20.94083,20.6691,-0.0002953369,187.462760021287,-1.28104686711171
19.50628,18.9719,18.59134,18.5832,18.4052,3.504411,317.362822295299,1.4708920925732
22.89635,21.25542,19.41761,18.75589,18.44716,0.3626143,139.533964918377,4.423889594324
25.39985,24.57401,22.033,22.2282,21.62295,0.8103313,136.371314604041,24.4315130143462
21.48377,21.24405,21.49956,21.35437,21.41118,2.022265,219.264591318238,56.0094844093647
25.67831,21.92331,20.21826,19.42308,18.96926,0.5178737,225.45936517005,42.5953941415292
18.69309,17.14277,16.31995,15.87376,15.63177,0.03266076,243.101559058999,24.5244170822295
20.03635,17.91047,16.76087,16.27407,15.89097,0.1465233,134.65889102195,12.0034065743735
19.68599,18.84659,18.11687,17.69602,17.56404,0.1717635,233.341822756307,30.8713377348575
24.23082,21.71149,19.90904,19.11328,18.45049,0.4602722,226.273223147979,35.2579360799449
24.28548,23.03457,22.75566,22.09372,21.64177,5.483042,318.256271558052,1.07339101734603
24.5616,22.60747,20.99531,20.01901,19.48077,0.4755755,204.373742329756,32.289753867397
18.88303,17.05344,16.11085,15.5889,15.18777,0.0462875,128.112998954836,10.8134188357736
25.62311,24.62602,23.0822,21.37087,20.0286,0.8910021,124.519385874797,45.1155547321068
19.85685,18.47004,17.65642,17.27947,16.94485,0.1258137,199.177741689919,49.1107891265071
20.08849,20.32055,19.75004,19.86474,19.89148,1.432605,238.579353331111,46.7256724649721
24.18922,22.66535,20.92843,19.68852,19.13074,0.652877,165.805963131779,64.7483620058811
24.9611,22.74509,20.67149,19.68276,19.93867,0.4787107,226.741150288471,40.9415336253924
22.19341,20.46964,24.76962,21.22095,20.32273,0.0001875893,324.325479096869,2.37001222563978
24.25479,22.85066,22.04233,21.48656,21.87933,0.746191,156.286216922275,30.8199644778601
19.08627,17.7534,17.18844,16.99372,16.91537,-0.0006732889,224.622646627529,12.7077319159693
18.92699,17.14963,16.27247,15.89109,15.59154,0.09021223,174.137061838193,47.0919525510479
17.4963,16.26757,15.69886,15.3904,15.14433,0.02953642,220.877900600328,11.9446531570928
25.51369,21.38751,19.79481,18.75231,18.51025,0.4803509,169.806754738441,53.3999657226453
23.65973,22.55835,20.96999,19.8428,19.46128,0.6696085,173.333203197696,41.9630386442472
23.47461,22.78468,21.87035,22.36251,23.02319,0.7354387,142.510875165973,23.1881557715762
22.60195,21.28647,20.96825,20.86088,21.07684,-0.0005511354,255.540941723137,35.9592740240967
24.19788,21.97549,20.52891,19.48303,18.84422,0.6418899,247.70294483311,22.3114175082721
25.12761,22.55699,20.56473,19.06757,18.53301,-6.100161e-05,333.45641566294,0.0442414268396597
25.26478,21.62915,21.10583,20.82811,20.64567,3.449386,0.329376567109421,30.2449757166424
25.81046,21.86114,20.19961,19.23666,18.75363,0.5587755,131.518916947767,19.3459322968126
24.03211,22.54528,20.72476,19.69198,19.14781,0.5540945,135.23935363526,11.9452360594482
17.44864,16.32917,16.14136,16.10701,16.13161,-6.384637e-05,163.152617176932,49.0086949755477
25.03879,22.35893,20.96381,20.04402,19.5908,0.4786164,197.259759527751,46.4293938415053
25.68086,22.38437,20.67077,19.58236,19.05681,0.5269564,210.682022568898,40.0798575823816
21.07312,18.92934,17.56207,17.05015,16.67576,0.2116009,241.085693161872,9.37974656615166
25.1843,21.28839,19.68103,18.86634,18.71424,0.4334811,138.538572451244,6.20056341380915
21.82643,19.25674,17.78105,16.91399,16.44721,-5.69751e-05,349.961567694859,0.769924022634906
22.91059,21.07952,20.20347,20.00011,19.90056,-0.001029533,315.879326599926,10.0477141341807
23.78604,22.13851,20.41309,19.58777,19.30291,0.4445046,244.541100345653,42.1034775290857
20.41403,17.71247,16.32878,15.37177,14.88071,-1.517753e-05,11.9201890197521,-0.108713352324399
22.63222,22.24798,21.755,20.92685,22.18681,0.8313172,134.84774282956,20.0117344885638
21.5342,20.94209,20.99385,21.03781,21.01228,2.412592,140.402619995433,55.0731821694431
19.48,18.16201,17.53607,17.14093,16.92117,0.07764224,139.656556982827,14.9406001202035
25.39081,21.96581,20.3675,19.5312,19.2002,0.5034906,216.952648933725,6.27586701809241
19.58525,17.62354,16.74933,16.42475,16.21834,-1.914329e-05,46.8593591637283,-8.54250668888056
23.14381,22.56606,20.89861,19.72234,19.30934,0.5936367,197.053428365057,65.7338583238327
23.79317,22.13858,20.27113,19.34097,18.81286,0.4926661,196.432973413827,6.22872767503925
20.89581,20.72936,20.51391,20.17671,20.03346,1.625426,174.021113103903,22.7646146330549
21.12882,20.53184,20.42718,20.50783,20.18696,0.7252874,262.72612746758,27.0739194578831
21.48062,19.49215,17.96514,17.47641,17.10888,0.1944093,178.315631307049,20.752075793661
22.26545,20.72495,18.90027,18.25269,17.87078,0.391805,165.353033453012,40.0035237146964
19.07351,18.06474,17.69454,17.44458,17.32573,0.07996146,182.940389364432,8.41982601438817
17.62741,16.34418,15.77454,15.45855,15.24014,0.02939006,172.375922806723,50.6146154100652
19.21336,18.32068,18.03773,17.98495,18.01664,1.126761e-05,179.517171955728,49.8639105303896
26.53357,22.71735,20.91402,19.73654,19.37794,0.6057876,190.319356447895,35.8405455241385
20.02154,17.96764,17.16679,16.87406,16.71327,-9.644311e-06,181.296945014694,46.2465543545411
21.19278,20.67703,20.6403,20.36532,20.34053,1.592361,16.5191337160264,3.18546377552368
20.42329,20.03905,19.89752,19.75319,19.77944,0.6454737,141.442439289685,36.7729912422251
20.65136,18.61546,17.60648,17.18758,16.84346,0.1162867,229.623960178693,33.1551553924853
19.44893,18.52926,18.24864,18.12484,18.11426,-0.0008412912,250.840464673717,33.6035880487122
20.07329,19.05541,18.64091,18.48522,18.36831,-0.0007174489,113.157067582656,46.3125861631858
22.29707,21.20075,20.85087,20.7904,20.22998,0.0002058399,160.063335241268,-2.01086790285269
19.82699,18.30625,17.46822,16.99567,16.65454,0.1222918,253.181522050692,22.1452018286941
22.8669,20.90679,20.49854,20.45121,20.18312,0.0003355872,233.043179511609,42.9358874891721
20.25433,19.32857,19.13962,19.00629,18.66021,2.592188,1.22926429853555,2.16992263479533
24.40727,21.59743,19.80169,18.95935,18.5049,0.5005933,222.88291398969,19.7150677266727
20.72375,20.59785,20.41408,20.19768,20.39332,1.591215,129.820072892569,34.3860867066951
19.88905,18.014,17.01273,16.53913,16.21188,0.114103,154.719272268458,6.08494802978127
21.32037,20.37369,19.69733,19.22932,18.90986,0.5015016,134.501370533013,44.1834936590861
21.95786,21.41894,21.25279,21.14327,22.13268,-0.0005930201,197.4517258617,46.0730897955255
23.20138,22.81563,22.41289,21.71962,21.22444,0.9742189,151.485012662097,22.266701827774
19.28971,18.0117,17.40962,17.05498,16.81921,0.1159178,192.595014704353,36.2569710255729
22.9179,21.83031,19.73388,18.83022,18.36057,0.5219321,173.195166952553,20.846710002252
17.9886,16.3431,15.59159,15.20008,14.86316,0.046132,118.917346803054,33.706021674097
26.57667,21.19497,19.48025,18.71491,18.16929,0.4697682,238.892229385333,44.9881380587543
18.16737,17.09455,17.34893,17.5405,17.6535,0.0002122284,198.368454672795,0.447506531615013
24.08126,24.18353,21.71017,19.32956,17.21957,-6.073009e-06,166.005377599725,19.9895305084159
19.0306,17.2429,16.60167,16.34812,16.23936,-3.866235e-05,348.798750048367,0.836794266526354
24.78921,22.10189,20.42712,19.3012,18.82681,0.6307497,132.934095006619,48.6305306976253
18.75358,17.60522,17.09704,16.94554,16.86449,-0.0002697173,198.629282318819,58.1844130373628
18.96515,17.89297,17.19459,16.81217,16.60225,0.1761147,135.592254587886,3.80347932529418
21.39381,20.54189,20.3278,20.19566,20.29637,-0.0005712169,246.238880409886,36.2461822084799
22.38502,22.63621,22.00285,21.82529,21.56413,0.6285083,160.032416094862,39.2257289829188
17.06634,15.93008,15.70957,15.65066,15.68404,7.457749e-05,256.763245427425,22.0590226593135
23.09635,21.42009,21.05345,21.19394,21.15305,1.229255,254.34637240481,40.6012456875162
22.9855,21.9465,21.99138,21.84225,22.14001,1.618458,124.855572863249,42.2103200687401
18.14885,17.21088,16.85111,16.70889,16.64028,0.0001980031,220.191208143058,24.918901003721
25.89896,21.55317,20.02668,19.18341,18.75476,0.4738016,209.632987920855,52.3206501210256
26.2355,22.84756,19.58299,18.59099,17.87426,-5.002871e-05,139.012683345945,17.2795317895037
18.529,17.51848,17.17999,16.99845,16.84061,0.04155003,209.905665616224,56.9326816192705
